Timestamp,Temperature (°C),Humidity (%),Wind Speed (m/s),Weather Code,"Weather Description_Mainly clear, partly cloudy, and overcast","Weather Description_Rain showers: Slight, moderate, and violent",Weather Description_Thunderstorm with slight and heavy hail,Weather Description_Thunderstorm: Slight or moderate,CO,Weather
2024-12-25 14:48:20,30.0,72.0,15.8,3,1,0,0,0,401.5463235790656,Clear
2024-12-25 14:54:42,30.0,72.0,15.8,3,1,0,0,0,401.03772263884525,Clear
2024-12-25 15:00:12,29.8,72.0,17.9,3,1,0,0,0,401.0875407518178,Clear
2024-12-25 15:06:36,29.8,72.0,17.9,3,1,0,0,0,402.4969858897442,Clear
2024-12-25 15:12:32,29.8,72.0,17.9,3,1,0,0,0,400.91732834651526,Clear
2024-12-25 15:18:23,29.8,72.0,17.9,3,1,0,0,0,400.66322553049554,Clear
2024-12-25 15:24:43,29.8,72.0,17.9,3,1,0,0,0,400.0,Clear
2024-12-25 15:30:10,29.8,72.0,17.9,3,1,0,0,0,400.9431112728799,Clear
2024-12-25 15:36:16,29.8,72.0,17.9,3,1,0,0,0,400.4920334350093,Clear
2024-12-25 15:42:03,29.8,72.0,17.9,3,1,0,0,0,401.46400505257714,Clear
2024-12-25 15:48:46,29.8,72.0,17.9,3,1,0,0,0,402.13270681118036,Clear
2024-12-25 15:54:24,29.8,72.0,17.9,3,1,0,0,0,401.9621288507438,Clear
2024-12-25 16:00:29,30.4,69.0,17.9,3,1,0,0,0,402.5161055006769,Clear
2024-12-25 16:06:08,30.4,69.0,17.9,3,1,0,0,0,401.0285117064758,Clear
2024-12-25 16:12:20,30.4,69.0,17.9,3,1,0,0,0,400.0,Clear
2024-12-25 16:18:19,30.4,69.0,17.9,3,1,0,0,0,402.35490617662487,Clear
2024-12-25 16:24:18,30.4,69.0,17.9,3,1,0,0,0,401.2836319760649,Clear
2024-12-25 16:30:18,30.4,69.0,17.9,3,1,0,0,0,400.8554288110782,Clear
2024-12-25 16:36:11,30.4,69.0,17.9,3,1,0,0,0,400.7054581463688,Clear
2024-12-25 16:42:36,30.4,69.0,17.9,3,1,0,0,0,402.2734065456281,Clear
2024-12-25 16:48:41,30.4,69.0,17.9,3,1,0,0,0,401.0873805127244,Clear
2024-12-25 16:54:16,30.4,69.0,17.9,3,1,0,0,0,401.33838030974687,Clear
2024-12-26 08:00:36,30.1,70.0,15.9,3,1,0,0,0,400.53794603751106,Clear
2024-12-26 08:06:53,30.1,70.0,15.9,3,1,0,0,0,401.52422873113875,Clear
2024-12-26 08:12:47,30.1,70.0,15.9,3,1,0,0,0,400.6403695508303,Clear
2024-12-26 08:18:38,30.1,70.0,15.9,3,1,0,0,0,400.709018196209,Clear
2024-12-26 08:24:27,30.1,70.0,15.9,3,1,0,0,0,402.08789461752986,Clear
2024-12-26 08:30:40,30.1,70.0,15.9,3,1,0,0,0,400.67063213233126,Clear
2024-12-26 08:36:34,30.1,70.0,15.9,3,1,0,0,0,402.62015976702537,Clear
2024-12-26 08:42:46,30.1,70.0,15.9,3,1,0,0,0,400.39776111132335,Clear
2024-12-26 08:48:47,30.1,70.0,15.9,3,1,0,0,0,400.0,Clear
2024-12-26 08:54:17,30.1,70.0,15.9,3,1,0,0,0,401.05264734298646,Clear
2024-12-26 09:00:13,29.8,71.0,13.7,2,1,0,0,0,400.71307259817917,Clear
2024-12-26 09:06:34,29.8,71.0,13.7,2,1,0,0,0,401.10457397514676,Clear
2024-12-26 09:12:43,29.8,71.0,13.7,2,1,0,0,0,403.01917298719326,Clear
2024-12-26 09:18:40,29.8,71.0,13.7,2,1,0,0,0,401.91328918571276,Clear
2024-12-26 09:24:59,29.8,71.0,13.7,2,1,0,0,0,402.49023562014327,Clear
2024-12-26 09:30:06,29.8,71.0,13.7,2,1,0,0,0,400.0,Clear
2024-12-26 09:36:40,29.8,71.0,13.7,2,1,0,0,0,401.207377399838,Clear
2024-12-26 09:42:12,29.8,71.0,13.7,2,1,0,0,0,402.81852213559375,Clear
2024-12-26 09:48:17,29.8,71.0,13.7,2,1,0,0,0,400.39141082977704,Clear
2024-12-26 09:54:36,29.8,71.0,13.7,2,1,0,0,0,401.2151641089346,Clear
2024-12-26 10:00:12,29.78278146,71.1192053,13.64569536,3,0,0,0,0,400.0,Other
2024-12-26 10:06:35,29.76556291,71.2384106,13.59139073,3,0,0,0,0,403.08651104458073,Other
2024-12-26 10:12:30,29.74834437,71.35761589,13.53708609,3,0,0,0,0,403.72731603582275,Other
2024-12-26 10:18:01,29.73112583,71.47682119,13.48278146,3,0,0,0,0,402.35122597900374,Other
2024-12-26 10:24:15,29.71390728,71.59602649,13.42847682,3,0,0,0,0,400.94768079936324,Other
2024-12-26 10:30:08,29.69668874,71.71523179,13.37417219,3,0,0,0,0,401.7642742504219,Other
2024-12-26 10:36:08,29.6794702,71.83443709,13.31986755,3,0,0,0,0,401.8193692926967,Other
2024-12-26 10:42:37,29.66225166,71.95364238,13.26556291,3,0,0,0,0,402.70868647695556,Other
2024-12-26 10:48:10,29.64503311,72.07284768,13.21125828,3,0,0,0,0,401.4509495440319,Other
2024-12-26 10:54:53,29.62781457,72.19205298,13.15695364,3,0,0,0,0,400.64447506328094,Other
2024-12-26 11:00:55,29.61059603,72.31125828,13.10264901,3,0,0,0,0,401.0095374246891,Other
2024-12-26 11:06:21,29.59337748,72.43046358,13.04834437,3,0,0,0,0,403.6191450292214,Other
2024-12-26 11:12:32,29.57615894,72.54966887,12.99403974,3,0,0,0,0,401.431753123513,Other
2024-12-26 11:18:35,29.5589404,72.66887417,12.9397351,3,0,0,0,0,401.76327253412165,Other
2024-12-26 11:24:44,29.54172185,72.78807947,12.88543046,3,0,0,0,0,401.05992575641966,Other
2024-12-26 11:30:22,29.52450331,72.90728477,12.83112583,3,0,0,0,0,402.8259070463513,Other
2024-12-26 11:36:44,29.50728477,73.02649007,12.77682119,3,0,0,0,0,400.7899732872474,Other
2024-12-26 11:42:44,29.49006623,73.14569536,12.72251656,3,0,0,0,0,402.2839431219859,Other
2024-12-26 11:48:33,29.47284768,73.26490066,12.66821192,3,0,0,0,0,400.4435754025278,Other
2024-12-26 11:54:08,29.45562914,73.38410596,12.61390728,3,0,0,0,0,400.5925622510296,Other
